eventID,occurrenceID,eventDate,scientificName,scientificNameID,verbatimIdentification,occurrenceStatus,basisOfRecord,individualCount,associatedTaxa,occurrenceRemarks,taxonRank,kingdom,phylum,class,order,family,genus
MC885_20140501_AT26144705046A,AT26-14-4705-046A_11,2014-05-01,Lumbrineridae,"urn:lsid:marinespecies.org:taxname:967, urn:lsid:itis.gov:itis_tsn: 66335",Lumbrineridae,present,HumanObservation,1,livesNear: Madrepora,within 1 meter of Madrepora,Family,Animalia,Annelida,Polychaeta,Eunicida,Lumbrineridae,NA
MC885_20140501_AT26144705046A,AT26-14-4705-046A_12,2014-05-01,Maldanidae,"urn:lsid:marinespecies.org:taxname:923, urn:lsid:itis.gov:itis_tsn: 67515",Maldanidae,present,HumanObservation,3,livesNear: Madrepora,within 1 meter of Madrepora,Family,Animalia,Annelida,Polychaeta,NA,Maldanidae,NA
MC885_20140501_AT26144705046A,AT26-14-4705-046A_13,2014-05-01,Nannastacidae,"urn:lsid:marinespecies.org:taxname:110383, urn:lsid:itis.gov:itis_tsn: 90963",Nannastacidae,present,HumanObservation,2,livesNear: Madrepora,within 1 meter of Madrepora,Family,Animalia,Arthropoda,Malacostraca,Cumacea,Nannastacidae,NA
MC885_20140501_AT26144705046A,AT26-14-4705-046A_14,2014-05-01,Opheliidae,"urn:lsid:marinespecies.org:taxname:924, urn:lsid:itis.gov:itis_tsn: 67342",Opheliidae,present,HumanObservation,1,livesNear: Madrepora,within 1 meter of Madrepora,Family,Animalia,Annelida,Polychaeta,NA,Opheliidae,NA
MC885_20140501_AT26144705046A,AT26-14-4705-046A_15,2014-05-01,Paraonidae,"urn:lsid:marinespecies.org:taxname:903, urn:lsid:itis.gov:itis_tsn: 66659",Paraonidae,present,HumanObservation,1,livesNear: Madrepora,within 1 meter of Madrepora,Family,Animalia,Annelida,Polychaeta,NA,Paraonidae,NA
MC885_20140501_AT26144705046A,AT26-14-4705-046A_16,2014-05-01,Pardaliscidae,"urn:lsid:marinespecies.org:taxname:101401, urn:lsid:itis.gov:itis_tsn: 94601",Pardaliscidae,present,HumanObservation,2,livesNear: Madrepora,within 1 meter of Madrepora,Family,Animalia,Arthropoda,Malacostraca,Amphipoda,Pardaliscidae,NA
MC885_20140501_AT26144705046A,AT26-14-4705-046A_17,2014-05-01,Phoxocephalidae,"urn:lsid:marinespecies.org:taxname:101403, urn:lsid:itis.gov:itis_tsn: 94633",Phoxocephalidae,present,HumanObservation,3,livesNear: Madrepora,within 1 meter of Madrepora,Family,Animalia,Arthropoda,Malacostraca,Amphipoda,Phoxocephalidae,NA
MC885_20140501_AT26144705046A,AT26-14-4705-046A_18,2014-05-01,Platyischnopidae,"urn:lsid:marinespecies.org:taxname:236742, urn:lsid:itis.gov:itis_tsn: 95068",Platyischnopidae,present,HumanObservation,1,livesNear: Madrepora,within 1 meter of Madrepora,Family,Animalia,Arthropoda,Malacostraca,Amphipoda,Platyischnopidae,NA
MC885_20140501_AT26144705046A,AT26-14-4705-046A_19,2014-05-01,Prochaetodermatidae,"urn:lsid:marinespecies.org:taxname:23102, urn:lsid:itis.gov:itis_tsn: 79104",Prochaetodermatidae,present,HumanObservation,1,livesNear: Madrepora,within 1 meter of Madrepora,Family,Animalia,Mollusca,Caudofoveata,Chaetodermatida,Prochaetodermatidae,NA
MC885_20140501_AT26144705046A,AT26-14-4705-046A_20,2014-05-01,Pseudotanaidae,"urn:lsid:marinespecies.org:taxname:136163, urn:lsid:itis.gov:itis_tsn: 91695",Pseudotanaidae,present,HumanObservation,1,livesNear: Madrepora,within 1 meter of Madrepora,Family,Animalia,Arthropoda,Malacostraca,Tanaidacea,Pseudotanaidae,NA
